article_url,article_title,article_summary,publish_date,article_authors,timestamp
https://www.cnbc.com/2025/12/24/nvidia-buying-ai-chip-startup-groq-for-about-20-billion-biggest-deal.html,Nvidia buying AI chip startup Groq's assets for about $20 billion in its largest deal on record,"Davis told CNBC that Nvidia is getting all of Groq's assets, though its nascent Groq cloud business is not part of the transaction.
At the end of October, Nvidia had $60.6 billion in cash and short-term investments, up from $13.3 billion in early 2023.
In an email to employees that was obtained by CNBC, Nvidia CEO Jensen Huang said the agreement will expand Nvidia's capabilities.
""We plan to integrate Groq's low-latency processors into the NVIDIA AI factory architecture, extending the platform to serve an even broader range of AI inference and real-time workloads,"" Huang wrote.
The company was not pursuing a sale when it was approached by Nvidia, Davis said.",2025-12-24 00:00:00,"['David Faber', 'www.facebook.com']",1766927056.9950469
https://techcrunch.com/2025/12/27/ny-governor-hochul-signs-bill-requiring-warning-labels-on-addictive-social-media/,NY Governor Hochul signs bill requiring warning labels on ‘addictive’ social media,"New York Governor Kathy Hochul signed a bill this week that will require social media platforms to show warning labels to younger users before they’re exposed to features such as autoplay and infinite scrolling.
The announcement compares the proposed warning labels to those that have been added to products such as tobacco, alcohol, and media with flashing lights.
Then-Surgeon General Vivek Murthy said last year that social media platforms should add warning labels.
“Keeping New Yorkers safe has been my top priority since taking office, and that includes protecting our kids from the potential harms of social media features that encourage excessive use,” Hochul said in a statement.
Last year, New York passed laws requiring that social media platforms obtain parental consent before showing children “addictive feeds” and before collecting or selling the personal data of users under 18.",2025-12-27 00:00:00,['Anthony Ha'],1766927075.8463597
https://www.coindesk.com/business/2025/12/26/trust-wallet-users-lose-more-than-usd7-million-to-hacked-chrome-extension,owned Trust Wallet lose $7 million to hacked Chrome extension,"Trust Wallet users lost more than $7 million shortly after it released an updated version of its extension for the Chrome web browser.
The stolen funds will be reimbursed, said Changpeng Zhao, a co-founder of crypto exchange Binance, which owns the utility.
""Community alert: A number of Trust Wallet users have reported that funds were drained from wallet addresses within the past couple hours,"" ZachXBT posted on Telegram.
""While the exact root cause has not been determined coincidentally the Trust Wallet Chrome extension pushed a new update yesterday.""
""Mobile-only users and all other browser extension versions are not impacted.""",2025-12-26 00:00:00,['Sheldon Reback'],1766927094.9858835
https://www.theverge.com/games/846828/ps5-best-games-2025,The best PS5 games from 2025,"driven by Sony and mostly Microsoft bringing their exclusives to other platforms, it’s getting harder to highlight games that make a singular console shine.
Indeed, the top-performing games year after year on both PlayStation and Xbox are multiplatform releases, and often the best games of the year, like 2025 GOTY winner Clair Obscur: Expedition 33, similarly launch on most everything.
For Microsoft, it’s Game Pass; for Sony in 2025, it’s the PlayStation Portal.
For $200, roughly half the price of a PS5, you essentially get a second one, able to play select games without the need to stream them from the console.
The sequel is still plenty weird, but because it builds off of the previous game, it’s also much easier to understand from the get-go.",2025-12-28 13:00:00+00:00,['Ash Parrish'],1766930507.672347
https://www.theverge.com/podcast/850556/nintendo-power-glove-version-history,The terrible Nintendo controller that helped make VR happen,"The Nintendo Power Glove was not good.
But the Power Glove wasn’t really even a Nintendo product.
Thanks to a remarkable marketing campaign, and the feeling that VR often gives of simply being the future, the Power Glove wound up a reasonable (if brief) business success.
And you can draw a line from the Glove to some other hugely successful Nintendo products — and maybe even to the whole VR industry as we know it.
On this episode of Version History, our chat show about old technology, we dig into the story of the Power Glove.",2025-12-28 19:07:34+00:00,['David Pierce'],1766950130.3757436,False
https://www.theverge.com/news/850551/ubisoft-shuts-down-rainbow-six-siege-servers-following-hack,Ubisoft shuts down ‘Rainbow Six Siege’ servers following hack,"Yesterday, Ubisoft confirmed that Rainbow Six Siege had been compromised and that it had shut down the game’s servers and marketplace while it resolved the issue.
Ubisoft sells R6 credits in its store, pricing 15,000 of them at $99.99.
That means the actual cash value of 2 billion R6 credits is about $13.33 million.
Ubisoft made it clear that nobody would be punished for spending any credits they received.
We’ve reached out to Ubisoft for comment and will update if and when they respond.",2025-12-28 16:42:07+00:00,"[""Terrence O'Brien""]",1766950132.4029288,False
https://www.theverge.com/news/850548/engineer-behind-the-moylan-arrow-has-died,The engineer behind the arrow that tells you what side your fuel tank is on has died.,"James Moylan passed away on December 11th at the age of 80.
Moylan spent 34 years at Ford, where, according to Jalopnik, he came up with the “Moylan Arrow” in April 1986.
Comments Loading comments Getting the conversation ready...
Email (required) By submitting your email, you agree to our Terms and Privacy Notice.
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",2025-12-28 14:30:14+00:00,"[""Terrence O'Brien""]",1766950134.7074583,False
https://www.autonews.com/executives/an-obituary-james-moylan-1223/,"James Moylan, Ford engineer behind arrow signaling which side to refuel a car, dies",Toyota’s announcement about exporting made-in-U.S.A. vehicles to Japan is part of an effort to expand offerings for Japanese customers as well as improve trade relations with the U.S.,2025-12-23 18:26:07.465000+00:00,['David Phillips'],1766950140.5324638,False
https://www.jalopnik.com/2061179/inventor-little-arrow-what-side-fuel-filler-is-on-dies/,The Inventor Of The Little Arrow That Tells You What Side The Fuel Filler Is On Has Died,"I'm talking about the little arrow in your gauge cluster that tells you which side of the car the fuel filler is on, which was thought up in 1986 by former Ford employee James Moylan, who died on December 11 at age 80.
(This was less of a problem with older cars, where the fuel filler was often at the rear end, sometimes behind the license plate.)
Now, of course, you'd be hard-pressed to find a car that doesn't have the Moylan arrow, or at least some indicator of which side the fuel filler is on.
I'm currently driving a plug-in-hybrid Mercedes-AMG S63, and the gauge cluster has separate sections for both fuel level and charge level, with an arrow showing which side each filler is on.
For people like us Jalops that are always jumping in and out of different cars, the Moylan arrow really makes a difference.",2025-12-26 20:00:03+00:00,['Daniel Golson'],1766950143.7076645,False
https://www.theverge.com/news/850569/download-andromeda-os-cancelled-windows-surface-duo,"You can download Andromeda OS, the cancelled Windows for Surface Duo.","T External Link You can download Andromeda OS, the cancelled Windows for Surface Duo.
When Microsoft was first developing the Surface Duo, it was originally intended to run a Windows 10-based OS code-named Andromeda that looked a lot like Windows Phone.
Of course, the company ended up canning those plans, opting to make the Duo Android-based instead.
But you can now get your hands on an unstable build of Andromeda and see what might have been.
You can now download this cancelled Windows OS for your Surface Duo [ XDA ] Follow topics and authors from this story to see more like this in your personalized homepage feed and to receive email updates.",2025-12-28 19:59:28+00:00,"[""Terrence O'Brien""]",1766952491.811443,False
